Second by second output for a Job Scheduler. If a job is completed, the wait time and total execution time for the job are also printed.

Number of jobs: 8



Current second: 0    | Queue Idle


Current second: 1    | Queue Idle


Current second: 2    | Queue Idle


Current second: 3    | Queue Idle


Current second: 4    | Queue Idle


Current second: 5    | Core: 1  |Current job number: 8  |
Current second: 5    |Core: 2  |Core Idle


Current second: 6    | Core: 1  |Current job number: 8  |
Current second: 6    |Core: 2  |Core Idle


Current second: 7    | Core: 1  |Current job number: 8  |
Current second: 7    | Core: 2  |Current job number: 3  |


Current second: 8    | Core: 1  |Current job number: 8  |
Current second: 8    | Core: 2  |Current job number: 3  |


Current second: 9    | Core: 1  |Current job number: 8  |
Current second: 9    | Core: 2  |Current job number: 3  |


Current second: 10   | Core: 1  |Current job number: 2  |
Current second: 10   | Core: 2  |Current job number: 8  |


Current second: 11   | Core: 1  |Current job number: 2  |
Current second: 11   | Core: 2  |Current job number: 8  |


Current second: 12   | Core: 1  |Current job number: 2  |
Current second: 12   | Core: 2  |Current job number: 8  |


Current second: 13   | Core: 1  |Current job number: 2  |
Current second: 13   | Core: 2  |Current job number: 8  |


Current second: 14   | Core: 1  |Current job number: 2  |
Current second: 14   | Core: 2  |Current job number: 8  |


Current second: 15   | Core: 1  |Current job number: 2  |
Current second: 15   | Core: 2  |Current job number: 8  |


Current second: 16   | Core: 1  |Current job number: 2  |
Current second: 16   | Core: 2  |Current job number: 8  |


Current second: 17   | Core: 1  |Current job number: 2  |
Current second: 17   | Core: 2  |Current job number: 8  |


Current second: 18   | Core: 1  |Current job number: 2  |
Current second: 18   | Core: 2  |Current job number: 8  |


Current second: 19   | Core: 1  |Current job number: 2  |
Current second: 19   | Core: 2  |Current job number: 8  |


Current second: 20   | Core: 1  |Current job number: 2  |
Current second: 20   | Core: 2  |Current job number: 8  |


Current second: 21   | Core: 1  |Current job number: 2  |
Current second: 21   | Core: 2  |Current job number: 7  |


Current second: 22   | Core: 1  |Current job number: 2  |
Current second: 22   | Core: 2  |Current job number: 7  |


Current second: 23   | Core: 1  |Current job number: 2  |
Current second: 23   | Core: 2  |Current job number: 7  |


Completed job 2
Current second: 24   | Core: 1  |Current job number: 2  |
Current second: 24   | Core: 2  |Current job number: 7  |


Current second: 25   | Core: 1  |Current job number: 8  |
Current second: 25   | Core: 2  |Current job number: 7  |


Current second: 26   | Core: 1  |Current job number: 8  |
Current second: 26   | Core: 2  |Current job number: 7  |


Current second: 27   | Core: 1  |Current job number: 8  |
Current second: 27   | Core: 2  |Current job number: 7  |


Current second: 28   | Core: 1  |Current job number: 8  |
Current second: 28   | Core: 2  |Current job number: 7  |


Current second: 29   | Core: 1  |Current job number: 8  |
Current second: 29   | Core: 2  |Current job number: 7  |


